,url,title,date and description
10,https://www.crma.org/exhibitions/upcoming/americans-in-paris-grant-wood-and-marvin-cone-s-1920-trip-to-paris,Americans in Paris: Grant Wood and Marvin Cone's 1920 Trip to Paris,"October 24, 2020 – October 10, 2021For three months in the summer of 1920, Grant Wood and his best friend Marvin Cone traveled to Paris to see great art, soak up the sights, and to paint. This brief sojourn proved to be pivotal for both artists, enhancing their nascent interest in Impressionism and painting en plein air. While each artist was not to continue painting in this style beyond the early 1930s, this trip to Paris (Wood’s first trip abroad, Cone’s second) was critical to their development as artists. What the artists did, saw, and painted is carefully outlined in Cone’s meticulous and well-written diary of the trip, including where the artists painted on which days. As such, this diary enables the ability to date certain works to the precise date of creation. It also allows viewers to see how each artist depicted the same scene, often in very different terms. "
11,https://www.crma.org/exhibitions/past/ooh-la-la-french-works-from-the-riley-collection,Ooh La La: French Works from the Riley Collection,"December 21, 2019 – April 12, 2020

As a companion exhibition to Across the Atlantic, the CRMA presents a selection from the private collection of Tom and Nan Riley. Drawing exclusively on French works, artists such as Claude Monet, Pierre-Auguste Renoir, and Camille Pissarro complements the French works included in Across the Atlantic. It is a rare opportunity to see important French works from a local private collection in celebration of the 125th anniversary of the origins of the Cedar Rapids Museum of Art. "
12,https://www.crma.org/exhibitions/past/Up-all-night-the-art-of-the-dark,Up All Night: The Art of the Dark,"October 5, 2019 – January 5, 2020Up All Night explores how artists have depicted the night and the dark in their work over the past 500 years. Drawing upon the CRMA’s own collection, a wide variety of artists in all media will be included in this unique slice through the collection. The dark, filled with mystery, has been a long-lived theme in art and manifests itself differently in the hands of different artists. This exploration will not only investigate the different approaches artists have taken but also the preconceived notions and ideas about the night and the dark.This exhibition and accompanying educational programming has been made possible by the GreatAmerica Financial Services Corporation Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.Additional support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, the Program Grant Fund of the Greater Cedar Rapids Community Foundation, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund. Annual educational programming support has been provided in part by Transamerica."
13,https://www.crma.org/exhibitions/past/Into-The-Blue-Iowa-Arists-Juried,Into The Blue,"June 8 - September 15, 2019A color-specific celebration of Iowa artists! Juried by CRMA Associate Curator Kate Kunau, Into the Blue drew work from artists all over the state of Iowa.   Into the Blue celebrates the hue in both two and three-dimensional works across all media and examines how blue has been incredibly important to artists for centuries:  From the luxurious (and expensive!) ultramarine used to color the Virgin Mary’s cloak and star-studded vaults of heaven in medieval and Renaissance art to the exuberance of Yves Klein’s trademarked shade and , blue has long inspired artists and this exhibition"
14,https://www.crma.org/exhibitions/past/KIck-Up-Your-Heels,Kick Up Your Heels: The Fine Art Of Shoes,"May 18, 2019-September 1, 2019The humble shoe, one of the most basic items of human clothing, has been the focus of some of the most outrageous fashion ideas. Kick up Your Heels celebrates the unique design elements in contemporary women’s shoes. The exhibition featured shoes from Jimmy Choo, Manolo Blahnik, Stuart Weitzman, Diane von Furstenberg, Christian Dior, Prada, Nicholas Kirkwood, Walter Steiger, and Sonia Rykiel among others, presented as art objects and highlighting the design elements that make them unique."
15,https://www.crma.org/exhibitions/past/bruce-beasley-a-new-direction,Bruce Beasley: A New Direction,"April 4, 2019 - October 27, 2019
 Bruce Beasley is one of the nation’s foremost sculptors. Born in Los Angeles in 1939, Beasley studied at Dartmouth College and at the University of California at Berkeley. In 1961, he was included in the seminal exhibition “The Art of Assemblage” at the Museum of Modern Art in New York. In 1963, Beasley won the purchase prize in the Paris Biennale, one of the world’s most prestigious international exhibitions.Beasley has been involved with innovation and technology his entire career. In 1960, while a student at the University of California at Berkeley, he helped build the first bronze foundry in an art department. He invented a new process for massive casting of acrylic sculptures and he is currently exploring theuse of virtual reality as a new technology for sculpture – a new direction for the artist. Beasley’s Aurai were created using virtual reality. “When I put on the head gear,” Beasley wrote, “the stylus becomes an extension of my hand, and my imagination…. It is completely spontaneous; if I like something I’ve just created, I continue, elaborate; if not I move on.” For these collages, Beasley selects virtual reality gestures that “sing” and then prints monumental versions of these onto canvas. Beasley then studies the printed gestures and cuts them into fragments – “visual words,” as he calls them. Finally, he moves these fragments around like so many puzzle pieces, twisting, rotating, flipping, and adjusting until an arrangement becomes the wall collages currently on view. Beasley’s sculptures are in the permanent collection of numerous art museums around the world, and he has had more than sixty solo exhibitions and has been included in hundreds of group exhibitions. Beasley has also completed more than fifty monumental sculpture commissions in the United States and abroad, including large works for the Beijing Olympic Games, the World Expo in Shanghai, and the City of Cedar Rapids. This exhibition is the U.S. premiere of his new Aurai series.



This exhibition and accompanying educational programming have been made possible by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund. Annual educational programming support has been provided in part by Transamerica."
16,https://www.crma.org/exhibitions/past/john-beckelman-horizon-suite,John Beckelman: Horizon Suite,"April 4, 2019 - October 27, 2019

John Beckelman’s Horizon Suite is a group of six recently-completed three-dimensional landscapes. Using the expressive potential of clay and a variety of other materials, Beckelman’s work explores the transitional space where the sky meets the land or sea. The horizontal sweep of this space is mediated by intimate moments of surprising texture, shifting light, and fleeting color. Horizon Suite attempts to gently entice the viewer into the inner landscapes and interior spaces of our imagination and memory. Beckelman finds a curious intersection between the seemingly enduring and timeless character of earth and the fleeting yet wonderful impermanence of the world in which we live. John Beckelman's art has been shown in exhibitions throughout the country and he has been the recipient of numerous awards, commissions, and grants. He received his master of fine arts degree in ceramics and his master of science degree in ceramics from Illinois State University. Beckelman is the Robert O. Daniel Professor of Art, Emeritus at Coe College. He lives and works in Cedar Rapids."
17,https://www.crma.org/exhibitions/past/american-visionary-john-f-kennedy-s-life-and-times,American Visionary: John F. Kennedy's Life and Times,"February 2019 - May 2019American Visionary: John F. Kennedy’s Life and Times brings together seventy-seven images culled from the John F. Kennedy Presidential Library, Getty Images, private collections, and the Kennedy family archives. The dramatic scope of Kennedy’s life is evident in these photographs—from his first congressional bid as a decorated war hero in 1946, his fairytale marriage to Jacqueline Bouvier in 1953, his run for the White House in 1960 and role as commander in chief, to the tragedy of his death in Dallas in 1963. These images remain as vivid evidence of John Kennedy’s imprint upon the American conscience."
18,https://www.crma.org/exhibitions/past/power-and-protest-political-photographs-and-prints,Power and Protest: Political Photographs and Prints,"January 12, 2019-April 28, 2019American politics have been contentious for as long as America has existed. Drawn from the CRMA’s own collection of photographs and prints, Power and Protest celebrates the glossy official images of political power, the behind-the-scenes work to keep people there, and the demonstrations, marches, and rallies that spoke to that power. Power and Protest was designed as a complement to the John F. Kennedy exhibition and both emphasize the role art has had in shaping the political views of our nation.

This exhibition has been made possible by the McIntyre Foundation and the Diamond V Corporate Fund of the Greater Cedar Rapids Community Foundation."
19,https://www.crma.org/exhibitions/past/terra-nova-ten-years,Terra Nova: Ten Years,"November 3, 2018 - October 6, 2019Celebrating ten years of collaborating with the Iowa Ceramics Center and Glass Studio. In 2009, the CRMA began meeting with artists who had completed residencies at the Ceramics Center and acquiring a piece of their work—often completed during their residency—for the Museum’s collection. This mutually beneficial arrangement allowed the artists to establish themselves in a museum collection and receive professional experience with curators while growing the CRMA’s collection of three-dimensional art. The exhibition will display artwork from every resident from 2009 to 2018 and both executive directors, a testament to the fruitfulness of this collaboration.This exhibition and accompanying educational programming have been made possible by the GreatAmerica Financial Services Corporation Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.  Additional support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund.  Annual educational programming support has been provided in part by Transamerica. "
20,https://www.crma.org/exhibitions/past/if-we-ran-the-zoo-animals-in-children-s-book-illustration,If We Ran the Zoo: Animals in Children's Book Illustration,"October 6, 2018 – January 13, 2019

Stories about animals have always been a staple of children’s literature. One of the earliest known books aimed at children, the 17th-century publication Orbis sensualium pictus, taught children the alphabet by mimicking animal noises. This trope continued in the early- and mid-20th century, called the Golden Age of children’s book illustration. Drawn from the Zerzanek Collection of Original Art from Children's Literature on loan to the CRMA from the Cedar Rapids Public Library, If We Ran the Zoo looked at the various ways animals have shaped children’s literature, from simple science books to loyal pets to fantastical, talking companions."
21,https://www.crma.org/exhibitions/past/one-man-one-war-one-hundred-years,"One Man, One War, One Hundred Years","September 15, 2018-December 30, 2018Urbandale, Iowa artist Michael Wilson was inspired to create this body of work after finding World War I pictures and memorabilia of his beloved great-uncle Herb Thordsen, who served as a machine-gunner in the 321st Machine Gun Battalion.  Timed to celebrate the 100th anniversary of the November 11th, 1918 armistice (the “eleventh hour of the eleventh day of the eleventh month”), One distills the Great War down to the level of one man and the history he shared with his young great-nephew. "
22,https://www.crma.org/exhibitions/past/grand-tour-europe-through-artists-eyes,The Grand Tour: Europe Through Artists’ Eyes,"June 9, 2018 – September 16, 2018From the Greek Parthenon to the great cathedrals of France, European monuments have inspired artists for hundreds of years. Named for the traditional trip of Europe undertaken by mainly upper class young men of means in search of art, culture, and the roots of Western civilization, this exhibition examines how the artists in the CRMA collection, both American and European, responded to the great sites of Europe.This exhibition and accompanying educational programming has been made possible by Rockwell Collins and by the CRST International Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.  Additional support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund.  Annual educational programming support has been provided in part by Transamerica."
23,https://www.crma.org/exhibitions/past/setting-table-art-still-life,Setting the Table: The Art of Still Life,"May 19, 2018-September 2, 2018Still life emerged as a genre of painting in the early 17th century in Europe. Including all kinds of man-made or natural objects, cut flowers, fruit, vegetables, fish, game, etc., still life paintings were highly symbolic and reflect the values of the society and artist that creates it. This exhibition showcases many of the still life works in the CRMA collection in a broad array of media.This exhibition and accompanying educational programming has been made possible by Rockwell Collins and by the CRST International Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.  Additional support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund.  Annual educational programming support has been provided in part by Transamerica."
24,https://www.crma.org/exhibitions/past/Flight-Pattern-Birds-In-Art,Flight Pattern: Birds in Art,"March 2018 – March 2019In flight or at rest, birds have long fascinated artists. Often used as symbolic objects for particular virtues, families, or countries, birds in art can carry meaning far beyond their forms. From John Buck’s vibrant woodcut of the extinct dodo bird to Laurie Hogin’s fantastically feathered creations, Flight Pattern celebrates the great variety of avian art in the CRMA collection.This exhibition and accompanying educational programming has been made possible by Rockwell Collins and by the CRST International Donor-Advised Fund of the Greater Cedar Rapids Community Foundation.  Additional support has been provided by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund.  Annual educational programming support has been provided in part by Transamerica."
25,https://www.crma.org/exhibitions/past/edward-hopper-selections-from-the-whitney-museum-of-american-art-new-york,"Edward Hopper: Selections from the Whitney Museum of American Art, New York","February 3, 2018 – May 20, 2018 This exhibition of thirteen seminal works, all drawn from the collection of the Whitney Museum of American Art in New York, traced the early trajectory of Edward Hopper’s career in works from 1906 to 1933.   Edward Hopper (1882-1967) was a prominent American realist painter and printmaker.  Best known for capturing what he saw as the solitude and isolation of modern American life, Hopper’s works include austere interiors, moody cityscapes, and starkly beautiful rural landscapes.  His art injects the psychological lives of his figures into what otherwise may appear to be straightforward depictions of everyday life.  Solitary figures contemplate their existence in these various locales, all highlighted with Hopper’s extraordinarily sensitive use of light."
26,https://www.crma.org/exhibitions/past/letters-my-ancestors-watercolors-tara-moorman,Letters to My Ancestors: The Watercolors of Tara Moorman,"May 13, 2017 – August 27, 2017Cedar Rapids-based artist Tara Moorman has long been known for her exquisite watercolor paintings. This exhibition displayed a new series, inspired by old photographs of Moorman’s relatives found at her mother’s home. Moorman describes her ancestors with Garrison Keillor’s phrase, “all the women are strong, all the men are good-looking, and all the children are above average.”  Using the photos as inspiration for her paintings allowed Moorman to have a conversation of sorts with her ancestors and momentarily step into their world.This exhibition is made possible by the CRST International Donor-Advised Fund and the GreatAmerica Financial Services Corporation Donor-Advised Fund, both funds of the Greater Cedar Rapids Community Foundation. Exhibition season support has been provided by the Hotel-Motel Tax Fund, the Program Grant Fund of the Greater Cedar Rapids Community Foundation, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund."
27,https://www.crma.org/exhibitions/past/diego-lasansky,Diego Lasansky: A Portrait of the Artist as a Young Man,"April 30, 2016-October 2, 2016Diego Lasansky, grandson of famed printmaker Mauricio Lasansky, is a painter and printmaker in his own right.  While still a student at the University of Iowa (BFA 2016), his work had already garnered local, national, and international attention.  Prior to his formal college education, Diego Lasansky learned about artistic processes not only from his grandfather, but also from his uncles, three of whom are professional artists.  Growing up within this exceptional artistic milieu allowed the young Diego to learn the masterful techniques he employs.  Lasansky’s work is figurative, and, like his grandfather, tends to focus on subjects readily available to him—such as family members—and those of historical and personal significance, such as Goya, Rembrandt, and Martin Luther.  Early success came to Diego Lasansky in his series Portrait at Eighteen, a set of 50 intaglio self-portraits, each with distinct differences from the rest in the series.  This exhibition at the Cedar Rapids Museum of Art was his first solo museum exhibition and coincided with his matriculation with his bachelor of fine arts degree.  It was also accompanied by the first monograph on his work.This exhibition is made possible by the Hotel-Motel Tax Fund, the Iowa Arts Council, a division of the Iowa Department of Cultural Affairs and the National Endowment for the Arts, members of the Cedar Rapids Museum of Art, and contributors to the Museum’s Annual Fund."
